SO2,CO,O3,NO2,PM10,PM25,기온(°C),강수량(mm),풍속(m/s),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),최저운고(100m ),시정(10m),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C),Year,Month,Day,Hour,풍향(16방위)_20.0,풍향(16방위)_50.0,풍향(16방위)_70.0,풍향(16방위)_90.0,풍향(16방위)_110.0,풍향(16방위)_140.0,풍향(16방위)_160.0,풍향(16방위)_180.0,풍향(16방위)_200.0,풍향(16방위)_230.0,풍향(16방위)_250.0,풍향(16방위)_270.0,풍향(16방위)_280.86302185283785,풍향(16방위)_280.9498875129443,풍향(16방위)_290.0,풍향(16방위)_320.0,풍향(16방위)_340.0,풍향(16방위)_360.0,중하층운량(10분위)_1.0,중하층운량(10분위)_2.0,중하층운량(10분위)_3.0,중하층운량(10분위)_4.0,중하층운량(10분위)_5.0,중하층운량(10분위)_6.0,중하층운량(10분위)_7.0,중하층운량(10분위)_8.0,중하층운량(10분위)_9.0,중하층운량(10분위)_10.0,전운량(10분위)_1.0,전운량(10분위)_2.0,전운량(10분위)_2.753080801596446,전운량(10분위)_3.0,전운량(10분위)_4.0,전운량(10분위)_5.0,전운량(10분위)_6.0,전운량(10분위)_6.024005423589677,전운량(10분위)_7.0,전운량(10분위)_8.0,전운량(10분위)_9.0,전운량(10분위)_10.0
0.002,0.5,0.022,0.016,24.0,14.0,-8.7,0.0,2.4,68.0,2.2,-13.5,1016.4,1027.7,0.6520231761065576,0.5114205851968521,0.0,0.0,13.944437280130941,2000.0,-6.9,-1.0,-0.8,0.3,1.6,2021.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0.6,0.018,0.02,25.0,14.0,-9.1,0.0,1.6,69.0,2.1,-13.7,1016.2,1027.5,0.6210065095050501,0.3844893047263511,0.0,0.0,14.828027253743684,2000.0,-7.1,-1.1,-0.8,0.3,1.6,2021.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0.6,0.013,0.025,27.0,16.0,-9.3,0.0,1.1,70.0,2.1,-13.7,1016.8,1028.1,0.6027933262752585,0.2930044133345078,0.0,0.0,15.644310628918092,2000.0,-7.3,-1.2,-0.9,0.3,1.6,2021.0,1.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.6,0.011,0.027,23.0,13.0,-9.3,0.0,0.3,71.0,2.2,-13.5,1016.2,1027.5,0.5751704550668437,0.17728231611847178,0.0,0.0,16.57992540393535,2000.0,-7.5,-1.3,-1.0,0.2,1.5,2021.0,1.0,1.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.6,0.008,0.032,24.0,14.0,-9.7,0.0,1.9,72.0,2.1,-13.8,1015.6,1026.9,0.5915840835708108,0.23529969701596798,0.0,0.0,13.88472309353061,2000.0,-7.6,-1.3,-1.0,0.2,1.5,2021.0,1.0,1.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0.7,0.003,0.037,26.0,16.0,-9.7,0.0,2.0,75.0,2.2,-13.3,1015.4,1026.7,0.13054327495884,-0.0640257630516814,0.0,0.0,12.0,2000.0,-7.4,-1.4,-1.1,0.2,1.5,2021.0,1.0,1.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.003,0.7,0.002,0.039,27.0,18.0,-9.3,0.0,1.6,71.0,2.2,-13.5,1015.6,1026.9,0.2086971814160501,0.003731662737898489,0.0,0.0,16.0,2000.0,-6.8,-1.4,-1.1,0.2,1.5,2021.0,1.0,1.0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.003,0.8,0.002,0.041,30.0,18.0,-9.3,0.0,1.6,72.0,2.2,-13.4,1015.8,1027.1,0.0,0.0,0.0,0.0,18.0,2000.0,-7.3,-1.4,-1.1,0.1,1.5,2021.0,1.0,1.0,8.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.003,0.8,0.004,0.04,33.0,19.0,-8.6,0.0,2.5,74.0,2.4,-12.4,1016.1,1027.4,0.6,0.27,0.0,0.0,18.0,2000.0,-6.2,-1.4,-1.2,0.1,1.4,2021.0,1.0,1.0,9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.004,0.9,0.007,0.039,35.0,19.0,-6.1,0.0,1.1,68.0,2.6,-11.0,1016.4,1027.6,1.0,0.76,0.0,0.0,10.0,2000.0,-3.4,-1.2,-1.1,0.1,1.4,2021.0,1.0,1.0,10.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.004,0.8,0.01,0.036,44.0,27.0,-3.2,0.0,1.7,55.0,2.7,-10.9,1015.5,1026.5,1.0,1.4,0.0,0.0,17.39501348856389,2000.0,-0.5,-0.8,-1.0,0.1,1.4,2021.0,1.0,1.0,11.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0.7,0.016,0.029,42.0,26.0,-1.1,0.0,2.1,52.0,2.9,-9.7,1014.8,1025.7,0.9,1.74,0.0,0.0,9.0,2000.0,1.5,-0.5,-0.8,0.1,1.4,2021.0,1.0,1.0,12.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.004,0.5,0.019,0.024,36.0,20.0,-0.2,0.0,3.0,56.0,3.4,-7.9,1014.0,1024.9,0.7,1.61,0.0,0.0,9.0,2000.0,3.3,-0.2,-0.7,0.1,1.4,2021.0,1.0,1.0,13.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.003,0.5,0.024,0.022,29.0,15.0,1.4,0.0,1.6,53.0,3.6,-7.1,1013.2,1024.0,0.8,1.61,0.0,0.0,10.0,2000.0,4.3,0.0,-0.6,0.0,1.3,2021.0,1.0,1.0,14.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.004,0.4,0.027,0.018,30.0,18.0,1.2,0.0,2.6,52.0,3.5,-7.5,1013.3,1024.1,1.0,1.43,0.0,0.0,11.0,2000.0,1.4,0.1,-0.5,0.0,1.3,2021.0,1.0,1.0,15.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.004,0.4,0.03,0.015,33.0,19.0,-0.2,0.0,3.8,58.0,3.5,-7.4,1013.6,1024.5,0.1,0.42,0.0,0.0,18.0,2000.0,-0.2,0.1,-0.5,0.1,1.3,2021.0,1.0,1.0,16.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.003,0.4,0.031,0.014,26.0,16.0,-0.7,0.0,1.8,61.0,3.5,-7.3,1013.6,1024.5,0.4,0.28,0.0,0.0,17.0,2000.0,-0.4,0.2,-0.4,0.1,1.3,2021.0,1.0,1.0,17.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.002,0.5,0.027,0.017,28.0,16.0,-1.4,0.0,2.1,68.0,3.8,-6.5,1013.6,1024.5,0.0,0.02,0.0,0.0,15.0,2000.0,-0.9,0.1,-0.4,0.1,1.3,2021.0,1.0,1.0,18.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.003,0.5,0.022,0.021,27.0,18.0,-1.5,0.0,2.4,70.0,3.8,-6.2,1013.6,1024.5,0.5715831405631482,0.4987882305100939,0.0,0.0,17.0,2000.0,-1.2,0.1,-0.4,0.1,1.3,2021.0,1.0,1.0,19.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.003,0.5,0.019,0.024,27.0,17.0,-1.6,0.0,2.5,73.0,4.0,-5.8,1013.8,1024.7,0.1184569292656219,0.1639467068588445,0.0,0.0,15.0,2000.0,-1.5,0.1,-0.4,0.1,1.3,2021.0,1.0,1.0,20.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.003,0.5,0.02,0.023,27.0,15.0,-1.6,0.0,2.3,66.0,3.6,-7.1,1014.3,1025.2,0.11049885267868387,0.1961794127315173,0.0,0.0,15.0,2000.0,-1.4,0.1,-0.4,0.1,1.3,2021.0,1.0,1.0,21.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.003,0.5,0.024,0.02,26.0,14.0,-1.8,0.0,2.5,63.0,3.4,-7.9,1014.7,1025.7,0.11395022420252143,0.18641786715033248,0.0,0.0,15.0,2000.0,-1.8,0.1,-0.4,0.1,1.3,2021.0,1.0,1.0,22.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.004,0.5,0.024,0.017,28.0,16.0,-2.6,0.0,1.9,55.0,2.8,-10.4,1014.9,1025.9,0.6225145794820675,0.38249905112528637,0.0,0.0,17.50967042106332,2000.0,-2.8,0.0,-0.4,0.1,1.3,2021.0,1.0,1.0,23.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.5,0.026,0.014,34.0,19.0,-3.4,0.0,2.5,55.0,2.6,-11.1,1015.0,1026.0,0.7576379615525264,0.9981028830881016,0.0,0.0,16.14980997400572,2000.0,-3.8,-0.1,-0.5,0.1,1.3,2021.0,1.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.4,0.032,0.009,32.0,15.0,-4.1,0.0,2.3,39.0,1.8,-16.0,1015.1,1026.2,0.7964410949178022,0.9863026232869245,0.0,0.0,20.36899181860109,2000.0,-4.7,-0.2,-0.5,0.1,1.3,2021.0,1.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.4,0.031,0.01,25.0,9.0,-5.0,0.0,2.7,42.0,1.8,-15.9,1015.5,1026.6,0.7753696984958713,0.8819425266465046,0.0,0.0,19.972124770611444,2000.0,-5.3,-0.4,-0.6,0.1,1.3,2021.0,1.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.4,0.017,0.022,29.0,12.0,-5.8,0.0,1.9,45.0,1.8,-15.8,1015.8,1026.9,0.7346367535220475,0.7433150387836704,0.0,0.0,20.38004368348321,2000.0,-5.9,-0.5,-0.7,0.1,1.3,2021.0,1.0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0.4,0.027,0.014,24.0,13.0,-6.3,0.0,1.7,45.0,1.7,-16.3,1015.8,1027.0,0.7204671884973015,0.682201872466301,0.0,0.0,20.324310942653355,2000.0,-6.4,-0.7,-0.8,0.0,1.3,2021.0,1.0,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.4,0.031,0.01,20.0,8.0,-6.6,0.0,1.1,40.0,1.5,-17.9,1016.0,1027.2,0.7183246806951873,0.5719624053317247,0.0,0.0,22.97902350474179,2000.0,-6.9,-0.9,-0.9,0.0,1.3,2021.0,1.0,2.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0.4,0.026,0.014,19.0,7.0,-6.6,0.0,2.7,35.0,1.3,-19.5,1016.2,1027.4,0.7630699984716953,0.6262508591723801,0.0,0.0,22.567212944245384,2000.0,-7.2,-1.0,-1.0,0.0,1.3,2021.0,1.0,2.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.5,0.019,0.022,21.0,8.0,-7.4,0.0,1.5,38.0,1.3,-19.3,1016.6,1027.8,0.7184515202738941,0.4955756245363503,0.0,0.0,23.475157772599104,2000.0,-7.5,-1.1,-1.1,0.0,1.3,2021.0,1.0,2.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
